regulation_id,crop_slug,crop,condition
403,yablonya,яблоня,
404,yablonya,яблоня,
405,vinograd,виноград,
406,yablonya,яблоня,
407,ogurets,огурец,защищённый грунт
407,tomat,томат,защищённый грунт
408,ogurets,огурец,защищённый грунт
409,tomat,томат,защищённый грунт
410,kartofel,картофель,
411,ogurets,огурец,защищённый грунт
412,tomat,томат,защищённый грунт
413,perets,перец,защищённый грунт
414,hmel,хмель,
415,tsvety,цветы (общее),защищённый грунт
416,tsvety,цветы (общее),защищённый грунт
417,tsvety,цветы (общее),защищённый грунт
418,tsvety,цветы (общее),открытый грунт
419,tsvety,цветы (общее),открытый грунт
420,tsvety,цветы (общее),открытый грунт
421,komnatnye-rasteniya,комнатные растения (общее),
422,komnatnye-rasteniya,комнатные растения (общее),
423,komnatnye-rasteniya,комнатные растения (общее),
424,kartofel,картофель,
425,kapusta,капуста,
426,smorodina,смородина,
427,yablonya,яблоня,
428,yablonya,яблоня,
429,baklazhan,баклажан,защищённый грунт
429,ogurets,огурец,защищённый грунт
429,perets,перец,защищённый грунт
429,tomat,томат,защищённый грунт
430,baklazhan,баклажан,защищённый грунт
430,ogurets,огурец,защищённый грунт
430,perets,перец,защищённый грунт
430,tomat,томат,защищённый грунт
431,roza,роза,защищённый грунт
432,roza,роза,защищённый грунт
433,roza,роза,защищённый грунт
434,oblepiha,облепиха,
435,yablonya,яблоня,
436,smorodina,смородина,
437,yablonya,яблоня,
438,kartofel,картофель,
439,kukuruza,кукуруза,
440,baklazhan,баклажан,защищённый грунт
440,ogurets,огурец,защищённый грунт
440,perets,перец,защищённый грунт
440,tomat,томат,защищённый грунт
441,baklazhan,баклажан,защищённый грунт
441,ogurets,огурец,защищённый грунт
441,perets,перец,защищённый грунт
441,tomat,томат,защищённый грунт
442,roza,роза,защищённый грунт
443,roza,роза,защищённый грунт
444,roza,роза,защищённый грунт
445,kapusta,капуста,
446,smorodina,смородина,
447,hmel,хмель,
448,kartofel,картофель,
449,baklazhan,баклажан,защищённый грунт
449,ogurets,огурец,защищённый грунт
449,perets,перец,защищённый грунт
449,tomat,томат,защищённый грунт
450,baklazhan,баклажан,защищённый грунт
450,ogurets,огурец,защищённый грунт
450,perets,перец,защищённый грунт
450,tomat,томат,защищённый грунт
451,baklazhan,баклажан,защищённый грунт
451,ogurets,огурец,защищённый грунт
451,perets,перец,защищённый грунт
451,tomat,томат,защищённый грунт
452,kapusta,капуста,
453,smorodina,смородина,
454,smorodina,смородина,
455,yablonya,яблоня,
456,yablonya,яблоня,
457,tsvety,цветы (общее),защищённый грунт
458,tsvety,цветы (общее),защищённый грунт
459,tsvety,цветы (общее),защищённый грунт
460,komnatnye-rasteniya,комнатные растения (общее),
461,komnatnye-rasteniya,комнатные растения (общее),
462,komnatnye-rasteniya,комнатные растения (общее),
463,tsvety,цветы (общее),открытый грунт
464,tsvety,цветы (общее),открытый грунт
465,tsvety,цветы (общее),открытый грунт
466,grusha,груша,
467,ogurets,огурец,защищённый грунт
468,tomat,томат,защищённый грунт
469,oblepiha,облепиха,
470,roza,роза,защищённый грунт
471,klubnika,клубника (земляника),защищённый грунт
472,klubnika,клубника (земляника),защищённый грунт
473,ogurets,огурец,защищённый грунт
473,tomat,томат,защищённый грунт
474,limon-tsitrusy,комнатные: лимон / цитрусы,
475,kukuruza,кукуруза,
476,ogurets,огурец,защищённый грунт
477,vinograd,виноград,
478,baklazhan,баклажан,защищённый грунт
478,ogurets,огурец,защищённый грунт
478,perets,перец,защищённый грунт
478,tomat,томат,защищённый грунт
479,pshenitsa,пшеница,
480,pshenitsa,пшеница,
481,yachmen,ячмень,
482,yachmen,ячмень,
483,goroh-fasol,горох / фасоль,
484,soya,соя,
485,pshenitsa,пшеница,
486,pshenitsa,пшеница,
487,yachmen,ячмень,
488,kartofel,картофель,
489,saharnaya-svekla,сахарная свекла,
490,raps,рапс,
491,raps,рапс,
492,pastbischa-i-luga,пастбища и луга,
493,pshenitsa,пшеница,
494,pshenitsa,пшеница,
495,yachmen,ячмень,
496,kartofel,картофель,
497,saharnaya-svekla,сахарная свекла,
498,raps,рапс,
499,raps,рапс,
500,pastbischa-i-luga,пастбища и луга,
501,kartofel,картофель,
502,pshenitsa,пшеница,
503,pshenitsa,пшеница,
504,yachmen,ячмень,
505,raps,рапс,
506,pastbischa-i-luga,пастбища и луга,
507,pshenitsa,пшеница,
508,yachmen,ячмень,
509,saharnaya-svekla,сахарная свекла,
510,pshenitsa,пшеница,
511,pshenitsa,пшеница,
512,saharnaya-svekla,сахарная свекла,
513,goroh-fasol,горох / фасоль,
514,kartofel,картофель,
515,raps,рапс,
516,raps,рапс,
517,kormovye-travy,кормовые травы,
518,vinograd,виноград,
519,yablonya,яблоня,
520,pastbischa-i-luga,пастбища и луга,
521,yachmen,ячмень,
522,pshenitsa,пшеница,
523,pshenitsa,пшеница,
524,maslichnye-i-tehnicheskie,масличные и технические,
524,raps,рапс,
525,kartofel,картофель,
526,yablonya,яблоня,
527,kormovye-travy,кормовые травы,
528,saharnaya-svekla,сахарная свекла,
529,goroh-fasol,горох / фасоль,
530,pastbischa-i-luga,пастбища и луга,
531,yachmen,ячмень,
532,pshenitsa,пшеница,
533,pshenitsa,пшеница,
534,raps,рапс,
534,sklady-i-zernohranilischa,склады и зернохранилища,
535,kartofel,картофель,
536,saharnaya-svekla,сахарная свекла,
537,goroh-fasol,горох / фасоль,
537,sklady-i-zernohranilischa,склады и зернохранилища,
538,pastbischa-i-luga,пастбища и луга,
539,yablonya,яблоня,
540,kartofel,картофель,
541,yablonya,яблоня,
542,len,лен,
543,pshenitsa,пшеница,
544,pshenitsa,пшеница,
545,yachmen,ячмень,
546,kartofel,картофель,
547,raps,рапс,
548,raps,рапс,
549,kormovye-travy,кормовые травы,
550,saharnaya-svekla,сахарная свекла,
551,pastbischa-i-luga,пастбища и луга,
552,saharnaya-svekla,сахарная свекла,
553,saharnaya-svekla,сахарная свекла,
554,kukuruza,кукуруза,
554,sklady-i-zernohranilischa,склады и зернохранилища,
555,yachmen,ячмень,
556,pshenitsa,пшеница,
557,pshenitsa,пшеница,
558,pshenitsa,пшеница,
559,saharnaya-svekla,сахарная свекла,
560,kartofel,картофель,
561,maslichnye-i-tehnicheskie,масличные и технические,
561,raps,рапс,
562,maslichnye-i-tehnicheskie,масличные и технические,
562,raps,рапс,
563,goroh-fasol,горох / фасоль,
564,pastbischa-i-luga,пастбища и луга,
565,yachmen,ячмень,
566,maslichnye-i-tehnicheskie,масличные и технические,
566,raps,рапс,
567,saharnaya-svekla,сахарная свекла,
568,goroh-fasol,горох / фасоль,
569,pastbischa-i-luga,пастбища и луга,
570,pshenitsa,пшеница,
571,pshenitsa,пшеница,
572,pshenitsa,пшеница,
573,raps,рапс,
574,saharnaya-svekla,сахарная свекла,
575,pshenitsa,пшеница,
576,pshenitsa,пшеница,
577,yachmen,ячмень,
578,raps,рапс,
579,saharnaya-svekla,сахарная свекла,
580,pshenitsa,пшеница,
581,pshenitsa,пшеница,
582,yachmen,ячмень,
583,raps,рапс,
584,kartofel,картофель,
585,saharnaya-svekla,сахарная свекла,
586,saharnaya-svekla,сахарная свекла,
587,goroh-fasol,горох / фасоль,
588,kormovye-travy,кормовые травы,
589,pastbischa-i-luga,пастбища и луга,
590,kartofel,картофель,
591,yablonya,яблоня,
592,pshenitsa,пшеница,
593,pshenitsa,пшеница,
594,yachmen,ячмень,
595,raps,рапс,
596,saharnaya-svekla,сахарная свекла,
597,goroh-fasol,горох / фасоль,
598,pastbischa-i-luga,пастбища и луга,
599,pshenitsa,пшеница,
600,pshenitsa,пшеница,
601,raps,рапс,
601,sklady-i-zernohranilischa,склады и зернохранилища,
602,kartofel,картофель,
603,goroh-fasol,горох / фасоль,
604,kartofel,картофель,
605,pshenitsa,пшеница,
606,yachmen,ячмень,
607,raps,рапс,
608,pshenitsa,пшеница,
609,pshenitsa,пшеница,
610,raps,рапс,
611,pshenitsa,пшеница,
612,pshenitsa,пшеница,
613,pshenitsa,пшеница,
614,yachmen,ячмень,
615,maslichnye-i-tehnicheskie,масличные и технические,
615,raps,рапс,
616,maslichnye-i-tehnicheskie,масличные и технические,
616,raps,рапс,
617,kartofel,картофель,
618,goroh-fasol,горох / фасоль,
619,saharnaya-svekla,сахарная свекла,
620,kormovye-travy,кормовые травы,
621,pastbischa-i-luga,пастбища и луга,
622,kukuruza,кукуруза,
623,kukuruza,кукуруза,
624,len,лен,
625,len,лен,
626,len,лен,
627,len,лен,
628,yachmen,ячмень,
629,pshenitsa,пшеница,
630,pshenitsa,пшеница,
631,saharnaya-svekla,сахарная свекла,
632,goroh-fasol,горох / фасоль,
633,raps,рапс,
634,vinograd,виноград,
635,yablonya,яблоня,
636,pshenitsa,пшеница,
637,pshenitsa,пшеница,
638,kukuruza,кукуруза,
639,podsolnechnik,подсолнечник,
640,saharnaya-svekla,сахарная свекла,
641,len,лен,
642,raps,рапс,
643,raps,рапс,
644,kartofel,картофель,
645,goroh-fasol,горох / фасоль,
646,lesnye-nasazhdeniya,лесные насаждения,
646,sklady-i-zernohranilischa,склады и зернохранилища,
646,hvoynye,"хвойные (туя, ель, можжевельник)",
647,oves,овес,
648,yachmen,ячмень,
649,pshenitsa,пшеница,
650,pshenitsa,пшеница,
651,raps,рапс,
651,sklady-i-zernohranilischa,склады и зернохранилища,
652,saharnaya-svekla,сахарная свекла,
653,goroh-fasol,горох / фасоль,
654,pshenitsa,пшеница,
655,pshenitsa,пшеница,
656,yachmen,ячмень,
657,maslichnye-i-tehnicheskie,масличные и технические,
657,raps,рапс,
658,saharnaya-svekla,сахарная свекла,
659,saharnaya-svekla,сахарная свекла,
660,goroh-fasol,горох / фасоль,
661,podsolnechnik,подсолнечник,
662,podsolnechnik,подсолнечник,
663,kukuruza,кукуруза,
664,pshenitsa,пшеница,
664,yachmen,ячмень,
665,raps,рапс,
666,kartofel,картофель,
667,goroh-fasol,горох / фасоль,
668,kormovye-travy,кормовые травы,
669,pastbischa-i-luga,пастбища и луга,
670,zernovye,зерновые (прочие),
670,oves,овес,
671,oves,овес,
672,kapusta,капуста,
673,len,лен,
674,podsolnechnik,подсолнечник,
675,vinograd,виноград,
676,pshenitsa,пшеница,
677,pshenitsa,пшеница,
678,yachmen,ячмень,
679,maslichnye-i-tehnicheskie,масличные и технические,
679,raps,рапс,
680,kartofel,картофель,
681,goroh-fasol,горох / фасоль,
